Estrategia,F1 (média),ROC AUC (média),PR AUC (média),Recall + (média)
Baseline (sem balanceamento),0.799057436374449,,,0.762907268170426
class_weight='balanced',0.7749722688186668,,,0.9540726817042605
UnderSampling (RUS),0.7687849968425507,,,0.9681704260651628
OverSampling (ROS),0.7782739373121511,,,0.9469924812030074
SMOTE,0.7849684995447926,,,0.9469924812030074
SMOTEENN,0.7140931797529264,,,0.9752506265664159
